paymentType,Year,Month,month_year,avg_passenger_count,median_passenger_count,avg_fareAmount,median_fareAmount,avg_improvementSurcharge,median_improvementSurcharge,avg_extra,median_extra,avg_mtaTax,median_mtaTax,avg_tollsAmount,median_tollsAmount,avg_tipAmount,median_tipAmount,avg_totalAmount,median_totalAmount
DIS,2009,7,7/2009,1.311179515880789,1,12.439191269063945,7.7,null,null,0,0,null,null,0.22705750664614516,0,0.019403945711487337,0,12.818003358052332,7.7
NOC,2009,7,7/2009,1.2549471335726066,1,10.204785866718344,6.1,null,null,0,0,null,null,0.17417135512658885,0,0.016441943932486176,0,10.481107042390105,6.5
CRD,2009,8,8/2009,1.647071210087739,1,11.583828976349416,8.9,null,null,0.189613415357217,0,null,null,0.2799751702233591,0,2.1614088811411003,1.82,14.221109398722108,10.65
CSH,2009,8,8/2009,1.733887200279727,1,9.353323907462203,7.3,null,null,0.18334012524102772,0,null,null,0.1266761399980242,0,0.000924537833063053,0,9.666010362749567,7.4
DIS,2009,8,8/2009,1.3117117117117116,1,12.658831600831636,7.3,null,null,0,0,null,null,0.25057103257103286,0,0.0194012474012474,0,13.03864310464313,7.7
NOC,2009,8,8/2009,1.2652153842415996,1,10.253752520712254,6.1,null,null,0,0,null,null,0.17287057508685932,0,0.009387254306470031,0,10.513676717121344,6.5
CRD,2009,9,9/2009,1.6284473021818988,1,11.832562583587768,8.9,null,null,0.18892132667722597,0,null,null,0.2930022777035088,0,2.200487636955283,1.9,14.521226964942295,10.84
CSH,2009,9,9/2009,1.6999984888534931,1,9.464428951245205,7.3,null,null,0.18267560598225874,0,null,null,0.13229619812561938,0,0.000816080160017405,0,9.78218758071901,7.7
DIS,2009,9,9/2009,1.3123483009708738,1,12.487081310679617,7.7,null,null,0,0,null,null,0.24008040048543677,0,0.03495904126213593,0,12.883710558252433,7.7
NOC,2009,9,9/2009,1.2535596006478593,1,10.392228588004905,6.5,null,null,0,0,null,null,0.18352261464452335,0,0.007328305170788309,0,10.649765997050778,6.5
CRD,2009,10,10/2009,1.6281549456338147,1,11.589656767495981,8.9,null,null,0.2477472705492059,0,0.0001802948350832538,0,0.2785804115055856,0,2.1620228797905487,1.83,14.284630613890666,10.8
CSH,2009,10,10/2009,1.7015959381970622,1,9.347419205870251,7.3,null,null,0.23641742333941856,0,0.00018953697574801496,0,0.12626090798557524,0,0.0008213880418461607,0,9.712743290127236,7.7
DIS,2009,10,10/2009,1.3307367309215739,1,12.94022577237921,7.7,null,null,0.15440982307895432,0,0.0006167129201356768,0,0.24469897016107747,0,0.013608397148138367,0,13.425139952468989,8.1
NOC,2009,10,10/2009,1.24827663635343,1,10.626742786572247,6.5,null,null,0.13838553946334345,0,0.00053464499572284,0,0.16385606826091903,0,0.006359267991467386,0,11.015600538901918,6.5
CRD,2009,11,11/2009,1.6317706317947573,1,11.543185483451191,8.9,null,null,0.32151053763908827,0.5,0.4948552631612303,0.5,0.28843399263761904,0,2.1909983343946355,1.89,14.838081204533829,11.3
CSH,2009,11,11/2009,1.7154702571479519,1,9.33689325769201,7.3,null,null,0.3073721566716216,0,0.49657835628184205,0.5,0.1290487328913266,0,0.0007559793155781654,0,10.263026332097965,8.2
DIS,2009,11,11/2009,1.3246847720659554,1,11.486522793404461,6.9,null,null,0.3390518913676043,0.5,0.48132880698351116,0.5,0.2368198351115421,0,0.011681619786614937,0,12.630495877788553,7.8
NOC,2009,11,11/2009,1.2593985924504159,1,10.029597696737063,6.5,null,null,0.314766474728087,0.5,0.48528470889315417,0.5,0.14467383237364045,0,0.007142162507997441,0,11.035540882917479,7.1
CRD,2009,12,12/2009,1.6456216030324944,1,11.494682939547586,8.9,null,null,0.3404207630572046,0.5,0.49658057452079624,0.5,0.2767943379445161,0,2.20889989380856,1.95,14.818834791974291,11.3
CSH,2009,12,12/2009,1.7373320224664945,1,9.35164946535254,7.3,null,null,0.32907258280851437,0,0.49867284059250333,0.5,0.1272079519777281,0,0.0010962995405377324,0,10.302400151159128,8.2
DIS,2009,12,12/2009,1.2969887076537014,1,11.315449184441652,6.9,null,null,0.364930991217064,0.5,0.48883312421580927,0.5,0.19851317440401497,0,0.021898368883312425,0,12.496752823086576,7.9
NOC,2009,12,12/2009,1.2813446639680455,1,10.095193952229044,6.5,null,null,0.33032195801946224,0.5,0.48914296437283866,0.5,0.15445862263088764,0,0.01617483848484036,0,11.159909926815548,7.1
